date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol,sector
2021-04-09,134.869995,135.740005,134.710007,135.729996,135.729996,3023900.0,3023900.0,0.86,0.638,135.39334,"April 09, 21",0.00638,IBM,Technology
2021-04-08,134.570007,135.630005,134.160004,135.119995,135.119995,4087200.0,4087200.0,0.54999,0.409,134.97,"April 08, 21",0.00409,IBM,Technology
2021-04-07,133.839996,134.940002,133.779999,134.929993,134.929993,2976000.0,2976000.0,1.09,0.814,134.55,"April 07, 21",0.00814,IBM,Technology
2021-04-06,135.580002,135.639999,134.089996,134.220001,134.220001,3621000.0,3621000.0,-1.36,-1.003,134.65,"April 06, 21",-0.01003,IBM,Technology
2021-04-05,133.639999,136.690002,133.399994,135.929993,135.929993,5471300.0,5471300.0,2.28999,1.714,135.34,"April 05, 21",0.01714,IBM,Technology
2021-04-01,133.759995,133.929993,132.270004,133.229996,133.229996,4074000.0,4074000.0,-0.53,-0.396,133.14333,"April 01, 21",-0.00396,IBM,Technology
2021-03-31,134.539993,134.710007,132.710007,133.259995,133.259995,4945100.0,4945100.0,-1.28,-0.951,133.56,"March 31, 21",-0.00951,IBM,Technology
2021-03-30,135.860001,136.270004,134.020004,134.720001,134.720001,4790400.0,4790400.0,-1.14,-0.839,135.00334,"March 30, 21",-0.00839,IBM,Technology
2021-03-29,135.979996,137.070007,135.509995,135.860001,135.860001,4622700.0,4622700.0,-0.11999,-0.088,136.14667,"March 29, 21",-0.00088,IBM,Technology
2021-03-26,133.289993,136.479996,133.119995,136.380005,136.380005,5562500.0,5562500.0,3.09001,2.318,135.32667,"March 26, 21",0.02318,IBM,Technology
2021-03-25,130.330002,133.240005,129.770004,133.070007,133.070007,5554000.0,5554000.0,2.74,2.102,132.02667,"March 25, 21",0.02102,IBM,Technology
2021-03-24,130.949997,132.110001,130.570007,130.619995,130.619995,4005000.0,4005000.0,-0.33,-0.252,131.1,"March 24, 21",-0.00252,IBM,Technology
2021-03-23,130.440002,131.559998,129.800003,130.460007,130.460007,4356400.0,4356400.0,0.02,0.015,130.60667,"March 23, 21",0.00015,IBM,Technology
2021-03-22,128.5,130.720001,127.889999,130.550003,130.550003,4164900.0,4164900.0,2.05,1.595,129.72,"March 22, 21",0.01595,IBM,Technology
2021-03-19,130.020004,130.440002,128.529999,128.899994,128.899994,9845000.0,9845000.0,-1.12001,-0.861,129.29,"March 19, 21",-0.00861,IBM,Technology
2021-03-18,128.940002,131.0,127.790001,130.059998,130.059998,5835700.0,5835700.0,1.12,0.869,129.61667,"March 18, 21",0.00869,IBM,Technology
2021-03-17,128.460007,129.490005,127.489998,129.029999,129.029999,4291400.0,4291400.0,0.56999,0.444,128.67,"March 17, 21",0.00444,IBM,Technology
2021-03-16,128.279999,128.520004,127.339996,128.240005,128.240005,4653200.0,4653200.0,-0.03999,-0.031,128.03334,"March 16, 21",-0.00031,IBM,Technology
2021-03-15,127.769997,128.75,127.540001,128.580002,128.580002,3420600.0,3420600.0,0.81001,0.634,128.29,"March 15, 21",0.00634,IBM,Technology
2021-03-12,127.190002,127.68,126.610001,127.610001,127.610001,4010100.0,4010100.0,0.42,0.33,127.3,"March 12, 21",0.0033,IBM,Technology
2021-03-11,128.089996,128.639999,126.779999,127.139999,127.139999,5146900.0,5146900.0,-0.95,-0.742,127.52,"March 11, 21",-0.00742,IBM,Technology
2021-03-10,125.050003,128.240005,124.610001,127.870003,127.870003,7247800.0,7247800.0,2.82,2.255,126.90667,"March 10, 21",0.02255,IBM,Technology
2021-03-09,125.400002,126.43,124.160004,124.18,124.18,5609000.0,5609000.0,-1.22,-0.973,124.92333,"March 09, 21",-0.00973,IBM,Technology
2021-03-08,122.989998,126.849998,122.879997,124.809998,124.809998,7239200.0,7239200.0,1.82,1.48,124.84666,"March 08, 21",0.0148,IBM,Technology
2021-03-05,120.639999,123.75,120.25,122.830002,122.830002,6949300.0,6949300.0,2.19,1.815,122.27667,"March 05, 21",0.01815,IBM,Technology
2021-03-04,122.0,123.220001,118.760002,120.110001,120.110001,8068500.0,8068500.0,-1.89,-1.549,120.69667,"March 04, 21",-0.01549,IBM,Technology
2021-03-03,120.5,122.629997,119.980003,122.360001,122.360001,7404300.0,7404300.0,1.86,1.544,121.65667,"March 03, 21",0.01544,IBM,Technology
